iter	Passed	Remaining
0	60	60100
1	60	30184
2	60	20204
3	61	15220
4	61	12224
5	61	10228
6	62	8803
7	62	7728
8	62	6896
9	62	6229
10	63	5686
11	63	5234
12	63	4849
13	64	4520
14	64	4235
15	64	3989
16	65	3767
17	65	3570
18	65	3393
19	66	3234
20	66	3093
21	66	2963
22	66	2845
23	67	2737
24	67	2637
25	67	2545
26	68	2459
27	68	2379
28	68	2304
29	69	2234
30	69	2170
31	69	2108
32	70	2051
33	70	1997
34	70	1946
35	70	1898
36	71	1852
37	71	1808
38	71	1767
39	72	1729
40	72	1692
41	72	1656
42	72	1624
43	73	1592
44	73	1563
45	74	1535
46	74	1506
47	74	1479
48	74	1454
49	75	1430
50	75	1407
51	75	1384
52	76	1362
53	76	1344
54	77	1325
55	77	1307
56	77	1289
57	78	1272
58	78	1254
59	78	1236
60	79	1219
61	79	1203
62	79	1187
63	80	1172
64	80	1156
65	80	1142
66	81	1128
67	81	1114
68	81	1101
69	81	1087
70	82	1075
71	82	1063
72	82	1051
73	83	1039
74	83	1028
75	83	1017
76	83	1006
77	84	996
78	84	985
79	84	975
80	85	966
81	85	957
82	85	945
83	85	936
84	86	927
85	86	921
86	86	912
87	87	904
88	87	896
89	87	888
90	88	880
91	88	873
92	88	866
93	89	860
94	89	854
95	90	847
96	90	840
97	90	834
98	90	827
99	91	820
100	91	814
101	91	807
102	92	801
103	92	796
104	92	790
105	92	784
106	93	778
107	93	772
108	93	767
109	94	761
110	94	756
111	94	751
112	94	745
113	95	741
114	95	736
115	96	731
116	96	726
117	96	721
118	96	716
119	97	711
120	97	707
121	97	701
122	97	697
123	98	693
124	98	689
125	98	685
126	98	680
127	99	676
128	99	672
129	99	668
130	100	664
131	100	660
132	100	656
133	101	652
134	101	649
135	101	645
136	101	642
137	102	638
138	102	634
139	102	631
140	103	628
141	103	624
142	103	622
143	104	619
144	104	616
145	104	613
146	105	610
147	105	607
148	105	604
149	106	601
150	106	598
151	106	595
152	106	592
153	107	589
154	107	586
155	107	583
156	108	581
157	108	578
158	108	575
159	109	572
160	109	569
161	109	566
162	109	563
163	110	561
164	110	558
165	110	555
166	110	553
167	111	550
168	111	548
169	111	546
170	112	544
171	112	542
172	112	540
173	113	537
174	113	535
175	113	533
176	114	531
177	114	529
178	114	526
179	115	524
180	115	522
181	115	520
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	508
188	117	506
189	118	504
190	118	502
191	118	500
192	119	498
193	119	496
194	120	495
195	120	494
196	120	492
197	121	491
198	121	489
199	121	487
200	122	485
